time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0799609118392518e-09,2.26272819512539e-09,10.06996100762168,6.630181585975947e-07,6.2831849637039845,0.0,1.0961410779231238e-07,2.2048921961099018e-07,2.330392474783391,3.270877274440641e-05,-1.7300416763405982e-05,0.0,900.0023298099427,900.0016298398316,899.9994923117032,900.0008157024016
0.12000000000000001,5.27862842433268e-08,1.0500262104309348e-07,10.279079519693855,2.744210765293076e-06,6.283184344517526,0.0,1.9642307126418182e-06,4.061951793028801e-06,4.633934320387927,3.8628148278773466e-05,3.4641723267930393e-06,0.0,900.0014520150482,900.0022926118788,899.9997707587721,900.0000095102499
0.18,2.483213916496037e-07,6.167739633735767e-07,10.624821802762948,4.163001193546734e-06,6.283184935069496,0.0,4.376539505198886e-06,1.3749417984286306e-05,6.880175226469907,-7.196874293070565e-06,2.2451170690982106e-05,0.0,900.0008740050005,900.0016422479896,900.0017406400929,899.9998853907503
0.23999999999999996,5.244854566088982e-07,1.7786585834485442e-06,11.102904863099127,3.1176782551156634e-06,6.28318509910163,0.0,4.513244661387362e-06,2.4624249090388313e-05,9.041474224052697,-3.827842737538397e-05,-3.8242455515012765e-05,0.0,900.0021468407119,899.9996901225776,899.9994896446573,899.9982319795117
0.3,8.47188426099973e-07,3.4706838147980465e-06,11.707506174238768,6.007625072967926e-07,6.283182129774744,0.0,7.2523542027877405e-06,3.0794351611199924e-05,11.094317691276782,-4.934118395499735e-05,-7.247355271220723e-05,0.0,900.0017944514628,900.0004099619673,899.9985669140752,899.9981200817174
0.36000000000000004,1.58514255944291e-06,5.323645617906864e-06,12.431538983951288,6.283183192932366,6.2831774380640475,0.0,1.8935896113435518e-05,2.99211559251606e-05,13.02017461903544,-3.712886860139055e-05,-8.976498976802763e-05,0.0,900.0008604633391,900.0001623017927,899.9976910932422,899.9981865326549
0.4200000000000001,3.3567857231505006e-06,6.936946805974648e-06,13.266966240402645,6.283180622690832,6.283172269111226,0.0,4.17682007074829e-05,2.3074747611320947e-05,14.805926223702329,-5.438033899209814e-05,-7.896502485827967e-05,0.0,900.0008180809176,900.0012573271397,899.9982123294925,899.997514915817
0.48000000000000015,6.796301628996598e-06,7.963600234524042e-06,14.205125711906524,6.283176554677302,6.283169086560919,0.0,7.386164636057805e-05,1.007162958945811e-05,16.443817193651544,-9.53439438561924e-05,-3.5579500032030063e-06,0.0,899.9983273590534,900.0013816064401,899.9986946007618,899.997037707841
0.5400000000000001,1.2248773014134959e-05,7.950016343220829e-06,15.237041876286888,6.283170062768114,6.2831699640753484,0.0,0.00010742230852910972,-1.2159731294989076e-05,17.931077048217904,-0.0001345527308511201,4.981113618328744e-05,0.0,899.9988333674584,900.0009938848947,900.0003561953803,899.9987712155234
0.6000000000000002,1.9558336515842632e-05,6.242671051961773e-06,16.353704896073804,6.283161439897645,6.28317341992012,0.0,0.00013499825582249827,-4.674083405857585e-05,19.269219512557914,-0.00016236362673716724,7.29496373007437e-05,0.0,899.9988868503029,899.9998223960779,900.0000893186583,899.9989666016081
0.6600000000000003,2.8258794718825374e-05,2.050382201155506e-06,17.546304405028437,6.283151124821567,6.28317763958065,0.0,0.00015366378135504247,-9.508273493644362e-05,20.463252812820162,-0.00019138084962709006,6.505685402788341e-05,0.0,899.998887951599,899.9985667040521,900.0007448298088,899.9995738789178
0.7200000000000003,3.7826520838532744e-05,-5.468095176092558e-06,18.806412960876433,6.283138742277828,6.283181513844784,0.0,0.0001641873095234568,-0.00015769515755198785,21.52080621854034,-0.00023724756486364696,6.359843937568508e-05,0.0,899.9981491268619,899.99808855446,900.001683549319,899.999831062807
0.7800000000000004,4.78206519122002e-05,-1.7198183991262666e-05,20.126118264574124,6.283122969485916,1.3133482745786296e-07,0.0,0.00016803401498504856,-0.00023574767316302713,22.45130577894601,-0.00031679034156126913,6.90249965687255e-05,0.0,899.9983803507141,899.9985985652713,900.0009352811671,899.9977203388789
0.8400000000000004,5.786437978045646e-05,-3.414599617268855e-05,21.49810873348828,6.283101768800179,4.7757315622121155e-06,0.0,0.00016586973297802422,-0.00033220994341063995,23.265249745594605,-0.00043199787308088335,9.391477229227281e-05,0.0,899.9966911447374,899.9976972790602,900.0014059693524,899.9967487586157
0.9000000000000005,6.758714432723326e-05,-5.755351806786853e-05,22.915719154452084,6.283073629769746,1.1272629000025347e-05,0.0,0.00015715609478204854,-0.00045185278031388445,23.973605142794092,-0.0005486386949624337,0.00013627295980357025,0.0,899.996102382673,899.997815250929,900.0015296691879,899.9968169686349
0.9600000000000005,7.655060133207804e-05,-8.895635178315791e-05,24.37294366708005,6.2830395909359495,2.0008724495923502e-05,0.0,0.00014030506191961594,-0.0005992466601019876,24.58732250644372,-0.0006060443614817125,0.00016394326339555743,0.0,899.9964275746566,899.9975447669151,900.0007423963393,899.998430748018
1.0200000000000005,8.422855813186698e-05,-0.00013007547721468794,25.864423759017683,6.2830027295646715,3.099877110557259e-05,0.0,0.000114173757682029,-0.0007756112076853193,25.11698632466905,-0.0006312475873763535,0.00022029946167337133,0.0,899.9958751194683,899.9981532189826,900.0005023352974,899.9994958846424
1.0800000000000005,9.001994431476825e-05,-0.00018260680652522752,27.385418665835513,6.282964234344412,4.606754549119074e-05,0.0,7.704575757605922e-05,-0.0009793363890739498,25.572575484529743,-0.0006626813871490706,0.00030953312331177303,0.0,899.9956683857081,899.9992764846666,900.0001500289262,899.9988918503648
